Species_ID,Scientific_Name,Code,Taxonomic_Order,Taxonomic_Family,Genus,Species,Subdivision,Authority,Authority_Source,Citation,Life_Cycle,Update_Date,Update_By,Update_Comments,Park,Life_Form,Nativity,Park_Common_Name,Distribution,Conservation_Status
20100315154438-339845895.767212,Agrostis stolonifera,AGRSTO,Cyperales,Poaceae,Agrostis,stolonifera,,L.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Herbst & Clayton 1998,Perennial,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,,Non-Native,,nat,
20100315154438-339845895.767212,Agrostis stolonifera,AGRSTO,Cyperales,Poaceae,Agrostis,stolonifera,,L.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Herbst & Clayton 1998,Perennial,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,,Non-Native,,nat,
20100315154438-339941918.849945,Epilobium ciliatum,EPICIL,Myrtales,Onagraceae,Epilobium,ciliatum,,,,,Perennial,2013-12-13T12:15:59Z,Kelly Kozar,Updated life form in cross reference table from data in the PLANTS database.,HAVO,,Non-Native,,,
20100315154438-340388536.453247,Davallia repens,DAVREP,Polypodiales,Dennstaedtiaceae,Davallia,repens,,,,,Perennial,,,,NPSA,,Native,,,
20100315154438-340606570.243835,Chamaesyce chamissonis,CHACHA,Euphorbiales,Euphorbiaceae,Chamaesyce,chamissonis,,,,,,,,,NPSA,,Native,,,
20100315154438-340986728.668213,Acacia koa,ACAKOA2,Fabales,Fabaceae,Acacia,koa,,A. Gray,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005; Rico-Arce 2007,Perennial,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,Tree,Native,koa,end,
20100315154438-340986728.668213,Acacia koa,ACAKOA2,Fabales,Fabaceae,Acacia,koa,,A. Gray,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005; Rico-Arce 2007,Perennial,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,Tree,Native,koa,end,
20100315154438-340986728.668213,Acacia koa,ACAKOA2,Fabales,Fabaceae,Acacia,koa,,A. Gray,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005; Rico-Arce 2007,Perennial,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,PUHE,Tree,Native,koa,end,
20100315154438-340986728.668213,Acacia koa,ACAKOA2,Fabales,Fabaceae,Acacia,koa,,A. Gray,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005; Rico-Arce 2007,Perennial,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,PUHO,Tree,Native,koa,end,
20100315154438-341051101.68457,Youngia japonica,YOUJAP,Asterales,Asteraceae,Youngia,japonica,,(L.) D. C.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Annual,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,AMME,Herb,Non-Native,oriental hawksbeard,,
20100315154438-341051101.68457,Youngia japonica,YOUJAP,Asterales,Asteraceae,Youngia,japonica,,(L.) D. C.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Annual,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,Herb,Non-Native,oriental hawksbeard,nat,
20100315154438-341051101.68457,Youngia japonica,YOUJAP,Asterales,Asteraceae,Youngia,japonica,,(L.) D. C.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Annual,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,Herb,Non-Native,oriental hawksbeard,nat,
20100315154438-341051101.68457,Youngia japonica,YOUJAP,Asterales,Asteraceae,Youngia,japonica,,(L.) D. C.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Annual,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,KALA,Herb,Non-Native,oriental hawksbeard,nat,
20100315154438-341051101.68457,Youngia japonica,YOUJAP,Asterales,Asteraceae,Youngia,japonica,,(L.) D. C.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Annual,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,NPSA,Herb,Non-Native,,,
20100315154438-341530323.028564,Argemone glauca var. decipiens,ARGGLA1,Papaverales,Papaveraceae,Argemone,glauca,var. decipiens,(Nutt. ex Prain) Pope; Ownbey,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,Herb,Native,pua kala,end,
20100315154438-341530323.028564,Argemone glauca var. decipiens,ARGGLA1,Papaverales,Papaveraceae,Argemone,glauca,var. decipiens,(Nutt. ex Prain) Pope; Ownbey,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,KAHO,Herb,Native,,end,
20100315154438-341530323.028564,Argemone glauca var. decipiens,ARGGLA1,Papaverales,Papaveraceae,Argemone,glauca,var. decipiens,(Nutt. ex Prain) Pope; Ownbey,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,PUHO,Herb,Native,,end,
20100315154438-343055367.469788,Malva parviflora,MALPAR,Malvales,Malvaceae,Malva,parviflora,,L.,Wagner et al. 2012,"Starr et al., 2004",Annual,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,Herb,Non-Native,cheese weed,nat,
20100315154438-343055367.469788,Malva parviflora,MALPAR,Malvales,Malvaceae,Malva,parviflora,,L.,Wagner et al. 2012,"Starr et al., 2004",Annual,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,Herb,Non-Native,cheese weed,nat,
20100315154438-343055367.469788,Malva parviflora,MALPAR,Malvales,Malvaceae,Malva,parviflora,,L.,Wagner et al. 2012,"Starr et al., 2004",Annual,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,KALA,Herb,Non-Native,cheese weed,nat,
20100315154438-343118190.765381,Desmanthus pernambucanus,DESPER,Fabales,Fabaceae,Desmanthus,pernambucanus,,(L.) Thell.,Wagner et al. 2012,"Wagner & Herbst, 1995; Oppenheimer, 2003",Perennial,2013-12-13T12:17:25Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",HAVO,,Non-Native,,nat,
20100315154438-343118190.765381,Desmanthus pernambucanus,DESPER,Fabales,Fabaceae,Desmanthus,pernambucanus,,(L.) Thell.,Wagner et al. 2012,"Wagner & Herbst, 1995; Oppenheimer, 2003",Perennial,2013-12-13T12:17:25Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",KALA,,Non-Native,,nat,
20100315154438-343118190.765381,Desmanthus pernambucanus,DESPER,Fabales,Fabaceae,Desmanthus,pernambucanus,,(L.) Thell.,Wagner et al. 2012,"Wagner & Herbst, 1995; Oppenheimer, 2003",Perennial,2013-12-13T12:17:25Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",NPSA,,Non-Native,,,
20100315154438-343118190.765381,Desmanthus pernambucanus,DESPER,Fabales,Fabaceae,Desmanthus,pernambucanus,,(L.) Thell.,Wagner et al. 2012,"Wagner & Herbst, 1995; Oppenheimer, 2003",Perennial,2013-12-13T12:17:25Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",PUHE,,Non-Native,,nat,
20100315154438-343118190.765381,Desmanthus pernambucanus,DESPER,Fabales,Fabaceae,Desmanthus,pernambucanus,,(L.) Thell.,Wagner et al. 2012,"Wagner & Herbst, 1995; Oppenheimer, 2003",Perennial,2013-12-13T12:17:25Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",WAPA,,Non-Native,,,
20100315154438-343406558.036804,Huperzia filiformis,HUPFIL,Lycopodiales,Lycopodiaceae,Huperzia,filiformis,,(Sw.) Holub,Wagner et al. 2012,"Wood, in press",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,Fern ally,Native,Huperzia filiformis,ind,
20100315154438-343406558.036804,Huperzia filiformis,HUPFIL,Lycopodiales,Lycopodiaceae,Huperzia,filiformis,,(Sw.) Holub,Wagner et al. 2012,"Wood, in press",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,Fern ally,Native,Huperzia filiformis,ind,
20100315154438-343406558.036804,Huperzia filiformis,HUPFIL,Lycopodiales,Lycopodiaceae,Huperzia,filiformis,,(Sw.) Holub,Wagner et al. 2012,"Wood, in press",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,KALA,Fern ally,Native,Huperzia filiformis,ind,
20100315154438-343493103.981018,Calocedrus decurrens,CALDEC,Pinales,Cupressaceae,Calocedrus,decurrens,,,,,Perennial,,,,HALE,,Non-Native,,,
20100315154438-343701004.981995,Elaphoglossum fauriei,ELAFAU,Polypodiales,Dryopteridaceae,Elaphoglossum,fauriei,,Copel.,2012 Bishop Museum Technical Report 60,Palmer 2003,Perennial,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,KALA,,Native,,end,
20100315154438-344180822.372437,Calophyllum neo-ebudicum,CALNEO,Theales,Clusiaceae,Calophyllum,neo-ebudicum,,Guillaumin,Whistler 2004,,Perennial,,,,NPSA,Tree,Native,tamanu,ind,
20100315154438-344909608.364105,Passiflora foetida var. hispida,PASFOE1,Violales,Passifloraceae,Passiflora,foetida,var. hispida,,,,Perennial,,,,AMME,,Non-Native,,,
20100315154438-345335066.318512,Phreatia micrantha,PHRMIC,Orchidales,Orchidaceae,Phreatia,micrantha,,,,,Perennial,,,,NPSA,,Native,oketi,,
20100315154438-345391631.126404,Liparis layardii,LIPLAY,Orchidales,Orchidaceae,Liparis,layardii,,,,,Perennial,,,,NPSA,,Native,oketi,,
20100315154438-345450699.329376,Terminalia catappa,TERCAT,Myrtales,Combretaceae,Terminalia,catappa,,L.,Wagner et al. 2012,"Oppenheimer, 2003, 2008",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,AMME,Tree,Native,Pacific almond,,
20100315154438-345450699.329376,Terminalia catappa,TERCAT,Myrtales,Combretaceae,Terminalia,catappa,,L.,Wagner et al. 2012,"Oppenheimer, 2003, 2008",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,Tree,Non-Native,Pacific almond,nat,
20100315154438-345450699.329376,Terminalia catappa,TERCAT,Myrtales,Combretaceae,Terminalia,catappa,,L.,Wagner et al. 2012,"Oppenheimer, 2003, 2008",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,KALA,Tree,Non-Native,Pacific almond,nat,
20100315154438-345450699.329376,Terminalia catappa,TERCAT,Myrtales,Combretaceae,Terminalia,catappa,,L.,Wagner et al. 2012,"Oppenheimer, 2003, 2008",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,NPSA,Tree,Non-Native,talie,nat,
20100315154438-345450699.329376,Terminalia catappa,TERCAT,Myrtales,Combretaceae,Terminalia,catappa,,L.,Wagner et al. 2012,"Oppenheimer, 2003, 2008",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,PUHO,Tree,Non-Native,Pacific almond,nat,
20100315154438-345450699.329376,Terminalia catappa,TERCAT,Myrtales,Combretaceae,Terminalia,catappa,,L.,Wagner et al. 2012,"Oppenheimer, 2003, 2008",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,WAPA,Tree,Native,Pacific almond,,
20100315154438-34581243.9918518,Cupressus macrocarpa,CUPMAC,Pinales,Cupressaceae,Cupressus,macrocarpa,,Gordon Juniperus bermudiana L.,Wagner et al. 2012,"Starr et al., 2008 Oppenheimer, 2002, 2008",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,,Non-Native,,nat,
20100315154438-34581243.9918518,Cupressus macrocarpa,CUPMAC,Pinales,Cupressaceae,Cupressus,macrocarpa,,Gordon Juniperus bermudiana L.,Wagner et al. 2012,"Starr et al., 2008 Oppenheimer, 2002, 2008",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,KALA,,Non-Native,,nat,
20100315154438-346567153.930664,Pilea microphylla,PILMIC,Urticales,Urticaceae,Pilea,microphylla,,(L.) Liebm.,Wagner et al. 2012,"Wagner & Herbst, 1995; Shannon & Wagner, 1996; Oppenheimer & Bartlett, 2002, Oppenheimer, 2006",Both,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,AMME,Herb,Non-Native,rockweed,,
20100315154438-346567153.930664,Pilea microphylla,PILMIC,Urticales,Urticaceae,Pilea,microphylla,,(L.) Liebm.,Wagner et al. 2012,"Wagner & Herbst, 1995; Shannon & Wagner, 1996; Oppenheimer & Bartlett, 2002, Oppenheimer, 2006",Both,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,Herb,Non-Native,,nat,
20100315154438-346567153.930664,Pilea microphylla,PILMIC,Urticales,Urticaceae,Pilea,microphylla,,(L.) Liebm.,Wagner et al. 2012,"Wagner & Herbst, 1995; Shannon & Wagner, 1996; Oppenheimer & Bartlett, 2002, Oppenheimer, 2006",Both,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,Herb,Non-Native,,nat,
20100315154438-346567153.930664,Pilea microphylla,PILMIC,Urticales,Urticaceae,Pilea,microphylla,,(L.) Liebm.,Wagner et al. 2012,"Wagner & Herbst, 1995; Shannon & Wagner, 1996; Oppenheimer & Bartlett, 2002, Oppenheimer, 2006",Both,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,NPSA,Herb,Non-Native,,,
20100315154438-346567153.930664,Pilea microphylla,PILMIC,Urticales,Urticaceae,Pilea,microphylla,,(L.) Liebm.,Wagner et al. 2012,"Wagner & Herbst, 1995; Shannon & Wagner, 1996; Oppenheimer & Bartlett, 2002, Oppenheimer, 2006",Both,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,WAPA,Herb,Non-Native,rockweed,,
20100315154438-346880555.152893,Cyanea stictophylla,CYASTI,Campanulales,Campanulaceae,Cyanea,stictophylla,,Rock,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,,Native,hāhā,end,E
20100315154438-346882760.52475,Eucalyptus robusta,EUCROB,Myrtales,Myrtaceae,Eucalyptus,robusta,,Sm.,Wagner et al. 2012,"Oppenheimer, 2007",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,Tree,Non-Native,swamp mahogany,nat,
20100315154438-346882760.52475,Eucalyptus robusta,EUCROB,Myrtales,Myrtaceae,Eucalyptus,robusta,,Sm.,Wagner et al. 2012,"Oppenheimer, 2007",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,Tree,Non-Native,swamp mahogany,nat,
20100315154438-346882760.52475,Eucalyptus robusta,EUCROB,Myrtales,Myrtaceae,Eucalyptus,robusta,,Sm.,Wagner et al. 2012,"Oppenheimer, 2007",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,KALA,Tree,Non-Native,swamp mahogany,nat,
20100315154438-346957147.121429,Planchonella obovata,PLAOBO,Ebenales,Sapotaceae,Planchonella,obovata,,,,Swenson et al. 2007,,2019-08-19T00:00:00Z,Kelly Kozar,Taxonomic change from Pouteria to Planchonella.  AMME had both Pouteria obovata and Planchonella obo,AMME,Tree,Native,lalaha,,
20100315154438-346957147.121429,Planchonella obovata,PLAOBO,Ebenales,Sapotaceae,Planchonella,obovata,,,,Swenson et al. 2007,,2019-08-19T00:00:00Z,Kelly Kozar,Taxonomic change from Pouteria to Planchonella.  AMME had both Pouteria obovata and Planchonella obo,WAPA,Tree,Native,lalaha,,
20100315154438-347040593.624115,Digitaria eriantha,DIGERI,Cyperales,Poaceae,Digitaria,eriantha,,Steud.,Wagner et al. 2012,"Herbst & Clayton, 1998; Staples et al., 2003; Oppenheimer, 2004",Perennial,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",HALE,Grass,Non-Native,pangolagrass,nat,
20100315154438-347040593.624115,Digitaria eriantha,DIGERI,Cyperales,Poaceae,Digitaria,eriantha,,Steud.,Wagner et al. 2012,"Herbst & Clayton, 1998; Staples et al., 2003; Oppenheimer, 2004",Perennial,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",HAVO,Grass,Non-Native,pangolagrass,nat,
20100315154438-347040593.624115,Digitaria eriantha,DIGERI,Cyperales,Poaceae,Digitaria,eriantha,,Steud.,Wagner et al. 2012,"Herbst & Clayton, 1998; Staples et al., 2003; Oppenheimer, 2004",Perennial,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",PUHE,Grass,Non-Native,pangolagrass,nat,
20100315154438-347091853.618622,Pinus contorta ssp. latifolia,PINCON2,Pinales,Pinaceae,Pinus,contorta,ssp. latifolia,,,,Perennial,,,,HALE,,Non-Native,,,
20100315154438-347275972.366333,Zanthoxylum kauaense,ZANKAU,Sapindales,Rutaceae,Zanthoxylum,kauaense,,A.Gray,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,,Native,,end,
20100315154438-347275972.366333,Zanthoxylum kauaense,ZANKAU,Sapindales,Rutaceae,Zanthoxylum,kauaense,,A.Gray,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,,Native,,end,
20100315154438-347275972.366333,Zanthoxylum kauaense,ZANKAU,Sapindales,Rutaceae,Zanthoxylum,kauaense,,A.Gray,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,KALA,,Native,,end,
20100315154438-347347557.544708,Thlaspi arvense,THLARV,Capparales,Brassicaceae,Thlaspi,arvense,,,,,,,,,HALE,,Non-Native,,,
20100315154438-347726404.666901,Cyrtandra auranticarpa,CYRAUR,Scrophulariales,Gesneriaceae,Cyrtandra,auranticarpa,,,,,,,,,NPSA,,Native,momolea,,
20100315154438-347832679.748535,Cyrtandra giffardii X platyphylla,CYRGIF2,Scrophulariales,Gesneriaceae,Cyrtandra,giffardii X platyphylla,,,,,Perennial,,,,HAVO,,Native,,,
20100315154438-347935497.760773,Fimbristylis complanata,FIMCOM,Cyperales,Cyperaceae,Fimbristylis,complanata,,,,,Perennial,,,,NPSA,,Non-Native,,,
20100315154438-348869800.567627,Phyllanthus marianus,PHYMAR,Euphorbiales,Phyllanthaceae,Phyllanthus,marianus,,,,,,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSN",AMME,,Native,,,
20100315154438-348869800.567627,Phyllanthus marianus,PHYMAR,Euphorbiales,Phyllanthaceae,Phyllanthus,marianus,,,,,,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSN",WAPA,,Native,,,
20100315154438-349650263.786316,Crassula multicava,CRAMUL,Rosales,Crassulaceae,Crassula,multicava,,Lem.,Wagner et al. 2012,"Lorence et al., 1995",Perennial,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,,Non-Native,,nat,
20100315154438-350506365.299225,Veitchia merrillii,VEIMER,Arecales,Arecaceae,Veitchia,merrillii,,,,,Perennial,,,,AMME,,Non-Native,,,
20100315154438-350506365.299225,Veitchia merrillii,VEIMER,Arecales,Arecaceae,Veitchia,merrillii,,,,,Perennial,,,,WAPA,,Non-Native,,,
20100315154438-351340770.721436,Sesbania cannabina,SESCAN,Fabales,Fabaceae,Sesbania,cannabina,,Poir.,NPSpecies,,Perennial,,,,AMME,Herb,Non-Native,sesbania,,
20100315154438-351628005.504608,Neonotonia wightii,NEOWIG,Fabales,Fabaceae,Neonotonia,wightii,,(Wight & Arn.) Lackey,Wagner et al. 2012,"Hughes, 1995; Herbarium Pacificum Staff, 1996; Oppenheimer, 2007",,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",HALE,Herb,Non-Native,glycine,nat,
20100315154438-351628005.504608,Neonotonia wightii,NEOWIG,Fabales,Fabaceae,Neonotonia,wightii,,(Wight & Arn.) Lackey,Wagner et al. 2012,"Hughes, 1995; Herbarium Pacificum Staff, 1996; Oppenheimer, 2007",,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",HAVO,Herb,Non-Native,glycine,nat,
20100315154438-351628005.504608,Neonotonia wightii,NEOWIG,Fabales,Fabaceae,Neonotonia,wightii,,(Wight & Arn.) Lackey,Wagner et al. 2012,"Hughes, 1995; Herbarium Pacificum Staff, 1996; Oppenheimer, 2007",,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",PUHO,Herb,Non-Native,glycine,nat,
20100315154438-352360904.216766,Cotoneaster pannosus,COTPAN,Rosales,Rosaceae,Cotoneaster,pannosus,,Franch.,Wagner et al. 2012,"Lorence et al., 1995; Herbarium Pacificum Staff, 1999",perennial,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,,Non-Native,,nat,
20100315154438-352360904.216766,Cotoneaster pannosus,COTPAN,Rosales,Rosaceae,Cotoneaster,pannosus,,Franch.,Wagner et al. 2012,"Lorence et al., 1995; Herbarium Pacificum Staff, 1999",perennial,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,,Non-Native,,nat,
20100315154438-353472650.051117,Ficus microcarpa var. saffordii,FICMIC1,Urticales,Moraceae,Ficus,microcarpa,var. saffordii,,,,,,,,WAPA,,Native,,,
20100315154438-353713929.653168,Lepturus repens,LEPREP,Cyperales,Poaceae,Lepturus,repens,,(G. Forster) R. Br.,Wagner et al. 2012,"Wood & LeGrande, 2006",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.,AMME,Grass,Native,Pacific Island thintail,,
20100315154438-353713929.653168,Lepturus repens,LEPREP,Cyperales,Poaceae,Lepturus,repens,,(G. Forster) R. Br.,Wagner et al. 2012,"Wood & LeGrande, 2006",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.,NPSA,Grass,Native,Lepturus repens,ind,
20100315154438-353713929.653168,Lepturus repens,LEPREP,Cyperales,Poaceae,Lepturus,repens,,(G. Forster) R. Br.,Wagner et al. 2012,"Wood & LeGrande, 2006",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.,WAPA,Grass,Native,Pacific Island thintail,,
20100315154438-353986978.530884,Asplenium horridum,ASPHOR3,Polypodiales,Aspleniaceae,Asplenium,horridum,,Kaulf.,Wagner et al. 2012,,Perennial,,,,HALE,Fern,Native,‘iwa,ind,
20100315154438-353986978.530884,Asplenium horridum,ASPHOR3,Polypodiales,Aspleniaceae,Asplenium,horridum,,Kaulf.,Wagner et al. 2012,,Perennial,,,,HAVO,Fern,Native,‘iwa,ind,
20100315154438-353986978.530884,Asplenium horridum,ASPHOR3,Polypodiales,Aspleniaceae,Asplenium,horridum,,Kaulf.,Wagner et al. 2012,,Perennial,,,,KALA,Fern,Native,‘iwa,ind,
20100315154438-353986978.530884,Asplenium horridum,ASPHOR3,Polypodiales,Aspleniaceae,Asplenium,horridum,,Kaulf.,Wagner et al. 2012,,Perennial,,,,NPSA,Fern,Native,‘iwa,ind,
20100315154438-35440087.3184204,Oleandra neriiformis,OLENER,Polypodiales,Dryopteridaceae,Oleandra,neriiformis,,Cav.,Whistler 1994,,Perennial,,,,NPSA,Fern,Native,Oleandra neriiformis,ind,
20100315154438-355577528.476715,Eria robusta,ERIROB,Orchidales,Orchidaceae,Eria,robusta,,,,,Perennial,,,,NPSA,,Native,oketi,,
20100315154438-356066644.191742,Erythrodes parvula,ERYPAR,Orchidales,Orchidaceae,Erythrodes,parvula,,,,,Perennial,,,,NPSA,,Native,oketi,,
20100315154438-356228291.988373,Cucumis melo,CUCMEL,Violales,Cucurbitaceae,Cucumis,melo,,,,,Annual,,,,NPSA,,Non-Native,,,
20100315154438-35632312.297821,Cyanea solenocalyx,CYASOL2,Campanulales,Campanulaceae,Cyanea,solenocalyx,,Hillebr.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,KALA,,Native,,end,
20100315154438-356586277.484894,Prunus spp.,PRUSP.,Rosales,Rosaceae,Prunus,spp.,,,,,Perennial,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSN",HAVO,Tree,Non-Native,Prunus spp.,nat,
20100315154438-356591761.112213,Tetramolopium humile ssp. humile,TETHUM1,Asterales,Asteraceae,Tetramolopium,humile,ssp. humile,(A. Gray) Hillebr.,Wagner et al. 2012,,Perennial,,,,HAVO,Shrub,Native,Tetramolopium humile ssp. humile,end,
20100315154438-357023119.926453,Grammitis graminella,GRAGRA,Polypodiales,Polypodiaceae,Grammitis,graminella,,,,,Perennial,2013-12-13T10:54:06Z,Kelly Kozar,Updated family to new family name based on Wagner et al. 2012.,NPSA,,Native,,,
20100315154438-357024729.251862,Clermontia grandiflora ssp. grandiflora,CLEGRA1,Campanulales,Campanulaceae,Clermontia,grandiflora,ssp. grandiflora,Gaudich.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Lammers 1991,Perennial,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,,Native,,end,
