Species_ID,Scientific_Name,Code,Taxonomic_Order,Taxonomic_Family,Genus,Species,Subdivision,Authority,Authority_Source,Citation,Life_Cycle,Update_Date,Update_By,Update_Comments,Park,Life_Form,Nativity,Park_Common_Name,Distribution,Conservation_Status
20100315154438-103022634.983063,Aglaia mariannensis,AGLMAR,Sapindales,Meliaceae,Aglaia,mariannensis,,Merrill,Raulerson & Rinehart,,Perennial,,,,AMME,Tree,Native,mapunao,,
20100315154438-103022634.983063,Aglaia mariannensis,AGLMAR,Sapindales,Meliaceae,Aglaia,mariannensis,,Merrill,Raulerson & Rinehart,,Perennial,,,,WAPA,Tree,Native,mapunao,,
20100315154438-103826642.036438,Festuca myuros,FESMYR,Cyperales,Poaceae,Festuca,myuros,,L.,Wagner et al. 2012,"Catalán et al., 2007; Inda et al, 2008",Annual,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",HALE,Grass,Non-Native,rat tail fescue,nat,
20100315154438-103826642.036438,Festuca myuros,FESMYR,Cyperales,Poaceae,Festuca,myuros,,L.,Wagner et al. 2012,"Catalán et al., 2007; Inda et al, 2008",Annual,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",HAVO,Grass,Non-Native,rat tail fescue,nat,
20100315154438-103972256.183624,Mucuna sloanei,MUCSLO,Fabales,Fabaceae,Mucuna,sloanei,,,,,,2013-12-13T12:15:59Z,Kelly Kozar,Updated life form in cross reference table from data in the PLANTS database.,HALE,,Native,,,
20100315154438-104432284.832001,Coprosma ochracea X rhynchocarpa,COPOCH1,Rubiales,Rubiaceae,Coprosma,ochracea X rhynchocarpa,,,,,Perennial,,,,HAVO,Tree,Native,pilo,end,
20100315154438-105452656.745911,Tectaria setchellii,TECSET,Polypodiales,Tectariaceae,Tectaria,setchellii,,Maxon,The Plant List 2010,,Perennial,,,,NPSA,Fern,Native,Tectaria setchellii,end,
20100315154438-105882227.420807,Scleria polycarpa,SCLPOL,Cyperales,Cyperaceae,Scleria,polycarpa,,Boeck.,Yoshioka,,Perennial,,,,NPSA,Sedge,Native,selesele,ind,
20100315154438-105882227.420807,Scleria polycarpa,SCLPOL,Cyperales,Cyperaceae,Scleria,polycarpa,,Boeck.,Yoshioka,,Perennial,,,,WAPA,Sedge,Native,nutrush,,
20100315154438-106133759.021759,Dryopteris unidentata var. paleacea,DRYUNI1,Polypodiales,Dryopteridaceae,Dryopteris,unidentata,var. paleacea,(Hook. & Arn.) C.Chr.; (Hillebr.) Herat ex Fraser-Jenk.,2012 Bishop Museum Technical Report 60,Palmer 2003,Perennial,2013-12-12T15:46:39Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authorit",HALE,,Native,,end,
20100315154438-106133759.021759,Dryopteris unidentata var. paleacea,DRYUNI1,Polypodiales,Dryopteridaceae,Dryopteris,unidentata,var. paleacea,(Hook. & Arn.) C.Chr.; (Hillebr.) Herat ex Fraser-Jenk.,2012 Bishop Museum Technical Report 60,Palmer 2003,Perennial,2013-12-12T15:46:39Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authorit",HAVO,,Native,‘akole,end,
20100315154438-106369674.20578,Melanolepis multiglandulosa var. glabrata,MELMUL1,Euphorbiales,Euphorbiaceae,Melanolepis,multiglandulosa,var. glabrata,,,,,,,,WAPA,,Native,,,
20100315154438-106646120.548248,Pisonia umbellifera,PISUMB,Caryophyllales,Nyctaginaceae,Pisonia,umbellifera,,(G. Forst.) Seem.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,Tree,Native,papala,ind,
20100315154438-106646120.548248,Pisonia umbellifera,PISUMB,Caryophyllales,Nyctaginaceae,Pisonia,umbellifera,,(G. Forst.) Seem.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,Tree,Native,papala,ind,
20100315154438-106646120.548248,Pisonia umbellifera,PISUMB,Caryophyllales,Nyctaginaceae,Pisonia,umbellifera,,(G. Forst.) Seem.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,KALA,Tree,Native,papala,ind,
20100315154438-106646120.548248,Pisonia umbellifera,PISUMB,Caryophyllales,Nyctaginaceae,Pisonia,umbellifera,,(G. Forst.) Seem.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,NPSA,Tree,Native,faupala,ind,
20100315154438-107375323.77243,Polyscias spp.,POLSP.1,Apiales,Araliaceae,Polyscias,spp.,,,,,Perennial,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSN",HALE,Tree,Native,vī vao,end,
20100315154438-107375323.77243,Polyscias spp.,POLSP.1,Apiales,Araliaceae,Polyscias,spp.,,,,,Perennial,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSN",NPSA,Tree,Native,vī vao,end,
20100315154438-107375323.77243,Polyscias spp.,POLSP.1,Apiales,Araliaceae,Polyscias,spp.,,,,,Perennial,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSN",PUHO,Tree,Native,vī vao,end,
20100315154438-107543349.266052,Physalis angulata,PHYANG,Solanales,Solanaceae,Physalis,angulata,,L.,Wagner et al. 2012,"Imada et al., 2000; Oppenheimer, 2003; Staples et al., 2006",Annual,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data. Updated life form in xref table from PLANTS database. Up,NPSA,,Non-Native,,,
20100315154438-107543349.266052,Physalis angulata,PHYANG,Solanales,Solanaceae,Physalis,angulata,,L.,Wagner et al. 2012,"Imada et al., 2000; Oppenheimer, 2003; Staples et al., 2006",Annual,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data. Updated life form in xref table from PLANTS database. Up,WAPA,,Non-Native,,,
20100315154438-108785867.69104,Heliconia laufao,HELLAU,Zingiberales,Heliconiaceae,Heliconia,laufao,,Kress,Whistler 1994,,,,,,NPSA,Herb,Native,laufao,end,
20100315154438-109438002.109528,Coniogramme pilosa,CONPIL,Polypodiales,Pteridaceae,Coniogramme,pilosa,,(Brack.) Hieron.,2012 Bishop Museum Technical Report 60,Palmer 2003,Perennial,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,Fern,Native,lo‘ulu,end,
20100315154438-109438002.109528,Coniogramme pilosa,CONPIL,Polypodiales,Pteridaceae,Coniogramme,pilosa,,(Brack.) Hieron.,2012 Bishop Museum Technical Report 60,Palmer 2003,Perennial,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,Fern,Native,lo‘ulu,end,
20100315154438-109438002.109528,Coniogramme pilosa,CONPIL,Polypodiales,Pteridaceae,Coniogramme,pilosa,,(Brack.) Hieron.,2012 Bishop Museum Technical Report 60,Palmer 2003,Perennial,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,KALA,Fern,Native,lo‘ulu,end,
20100315154438-109488487.243652,Pluchea indica,PLUIND1,Asterales,Asteraceae,Pluchea,indica,,(L.) Less.,Wagner et al. 2012,"Oppenheimer & Bartlett, 2002",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,AMME,Shrub,Non-Native,Indian pluchea,,
20100315154438-109488487.243652,Pluchea indica,PLUIND1,Asterales,Asteraceae,Pluchea,indica,,(L.) Less.,Wagner et al. 2012,"Oppenheimer & Bartlett, 2002",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,KAHO,Shrub,Non-Native,Indian fleabane,nat,
20100315154438-109488487.243652,Pluchea indica,PLUIND1,Asterales,Asteraceae,Pluchea,indica,,(L.) Less.,Wagner et al. 2012,"Oppenheimer & Bartlett, 2002",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,KALA,Shrub,Non-Native,Indian fleabane,nat,
20100315154438-109488487.243652,Pluchea indica,PLUIND1,Asterales,Asteraceae,Pluchea,indica,,(L.) Less.,Wagner et al. 2012,"Oppenheimer & Bartlett, 2002",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,WAPA,Shrub,Non-Native,Indian pluchea,,
20100315154438-109563529.491425,Dryopteris unidentata,DRYUNI3,Polypodiales,Dryopteridaceae,Dryopteris,unidentata,,(Hook. & Arn.) C. Chr.,Wagner et al. 2012,,Perennial,,,,HALE,Fern,Native,‘akole,end,
20100315154438-109563529.491425,Dryopteris unidentata,DRYUNI3,Polypodiales,Dryopteridaceae,Dryopteris,unidentata,,(Hook. & Arn.) C. Chr.,Wagner et al. 2012,,Perennial,,,,HAVO,Fern,Native,‘akole,end,
20100315154438-109563529.491425,Dryopteris unidentata,DRYUNI3,Polypodiales,Dryopteridaceae,Dryopteris,unidentata,,(Hook. & Arn.) C. Chr.,Wagner et al. 2012,,Perennial,,,,KALA,Fern,Native,‘akole,end,
20100315154438-109738528.728485,Dryopteris glabra var. nuda,DRYGLA5,Polypodiales,Dryopteridaceae,Dryopteris,glabra,var. nuda,(Brack.) Kuntze; (Underw.) Fraser-Jenk.,2012 Bishop Museum Technical Report 60,Palmer 2003,Perennial,2013-12-12T15:49:44Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs.",HALE,Fern,Native,kīlau,end,
20100315154438-109738528.728485,Dryopteris glabra var. nuda,DRYGLA5,Polypodiales,Dryopteridaceae,Dryopteris,glabra,var. nuda,(Brack.) Kuntze; (Underw.) Fraser-Jenk.,2012 Bishop Museum Technical Report 60,Palmer 2003,Perennial,2013-12-12T15:49:44Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs.",KALA,Fern,Native,kīlau,end,
20100315154438-110386848.449707,Dryopteris unidentata var. unidentata,DRYUNI4,Polypodiales,Dryopteridaceae,Dryopteris,unidentata,var. unidentata,(Hook. & Arn.) C.Chr.,2012 Bishop Museum Technical Report 60,Palmer 2003,Perennial,2013-12-12T15:46:39Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authorit",HALE,,Native,,end,
