Species_ID,Scientific_Name,Code,Taxonomic_Order,Taxonomic_Family,Genus,Species,Subdivision,Authority,Synonym,Authority_Source,Citation,Common_Name,Life_Cycle,Complete,Update_Date,Update_By,Update_Comments,Park,Life_Form,Nativity,Park_Common_Name,Distribution,Conservation_Status
20100315154438-109438002.109528,Coniogramme pilosa,CONPIL,Polypodiales,Pteridaceae,Coniogramme,pilosa,,(Brack.) Hieron.,,2012 Bishop Museum Technical Report 60,Palmer 2003,loulu,Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,HAVO,Fern,Native,lo‘ulu,end,
20100315154438-109488487.243652,Pluchea indica,PLUIND1,Asterales,Asteraceae,Pluchea,indica,,(L.) Less.,,Wagner et al. 2012,"Oppenheimer & Bartlett, 2002",Indian fleabane,Perennial,TRUE,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,AMME,Shrub,Non-Native,Indian pluchea,,
20100315154438-109488487.243652,Pluchea indica,PLUIND1,Asterales,Asteraceae,Pluchea,indica,,(L.) Less.,,Wagner et al. 2012,"Oppenheimer & Bartlett, 2002",Indian fleabane,Perennial,TRUE,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,KALA,Shrub,Non-Native,Indian fleabane,nat,
20100315154438-109488487.243652,Pluchea indica,PLUIND1,Asterales,Asteraceae,Pluchea,indica,,(L.) Less.,,Wagner et al. 2012,"Oppenheimer & Bartlett, 2002",Indian fleabane,Perennial,TRUE,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,WAPA,Shrub,Non-Native,Indian pluchea,,
20100315154438-109488487.243652,Pluchea indica,PLUIND1,Asterales,Asteraceae,Pluchea,indica,,(L.) Less.,,Wagner et al. 2012,"Oppenheimer & Bartlett, 2002",Indian fleabane,Perennial,TRUE,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,KAHO,Shrub,Non-Native,Indian fleabane,nat,
20100315154438-109563529.491425,Dryopteris unidentata,DRYUNI3,Polypodiales,Dryopteridaceae,Dryopteris,unidentata,,(Hook. & Arn.) C. Chr.,,Wagner et al. 2012,,'akole,Perennial,TRUE,,,,HALE,Fern,Native,‘akole,end,
20100315154438-109563529.491425,Dryopteris unidentata,DRYUNI3,Polypodiales,Dryopteridaceae,Dryopteris,unidentata,,(Hook. & Arn.) C. Chr.,,Wagner et al. 2012,,'akole,Perennial,TRUE,,,,KALA,Fern,Native,‘akole,end,
20100315154438-109563529.491425,Dryopteris unidentata,DRYUNI3,Polypodiales,Dryopteridaceae,Dryopteris,unidentata,,(Hook. & Arn.) C. Chr.,,Wagner et al. 2012,,'akole,Perennial,TRUE,,,,HAVO,Fern,Native,‘akole,end,
20100315154438-109738528.728485,Dryopteris glabra var. nuda,DRYGLA5,Polypodiales,Dryopteridaceae,Dryopteris,glabra,var. nuda,(Brack.) Kuntze; (Underw.) Fraser-Jenk.,,2012 Bishop Museum Technical Report 60,Palmer 2003,"kilau, hohiu",Perennial,TRUE,2013-12-12T15:49:44Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs.",HALE,Fern,Native,kīlau,end,
20100315154438-109738528.728485,Dryopteris glabra var. nuda,DRYGLA5,Polypodiales,Dryopteridaceae,Dryopteris,glabra,var. nuda,(Brack.) Kuntze; (Underw.) Fraser-Jenk.,,2012 Bishop Museum Technical Report 60,Palmer 2003,"kilau, hohiu",Perennial,TRUE,2013-12-12T15:49:44Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs.",KALA,Fern,Native,kīlau,end,
20100315154438-110386848.449707,Dryopteris unidentata var. unidentata,DRYUNI4,Polypodiales,Dryopteridaceae,Dryopteris,unidentata,var. unidentata,(Hook. & Arn.) C.Chr.,,2012 Bishop Museum Technical Report 60,Palmer 2003,,Perennial,FALSE,2013-12-12T15:46:39Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source and citation.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",HALE,,Native,,end,
20100315154438-110386848.449707,Dryopteris unidentata var. unidentata,DRYUNI4,Polypodiales,Dryopteridaceae,Dryopteris,unidentata,var. unidentata,(Hook. & Arn.) C.Chr.,,2012 Bishop Museum Technical Report 60,Palmer 2003,,Perennial,FALSE,2013-12-12T15:46:39Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source and citation.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",HAVO,,Native,,end,
20100315154438-110386848.449707,Dryopteris unidentata var. unidentata,DRYUNI4,Polypodiales,Dryopteridaceae,Dryopteris,unidentata,var. unidentata,(Hook. & Arn.) C.Chr.,,2012 Bishop Museum Technical Report 60,Palmer 2003,,Perennial,FALSE,2013-12-12T15:46:39Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source and citation.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",KALA,,Native,,end,
20100315154438-111181378.364563,Camellia japonica,CAMJAP,Theales,Theaceae,Camellia,japonica,,,,,,camellia,Perennial,FALSE,,,,HALE,,Non-Native,,,
20100315154438-111181378.364563,Camellia japonica,CAMJAP,Theales,Theaceae,Camellia,japonica,,,,,,camellia,Perennial,FALSE,,,,HAVO,,Non-Native,,,
