Species_ID,Update_Date,Update_By,Park,Life_Form,Nativity,Distribution,Conservation_Status,Scientific_Name,Code,Taxonomic_Order,Taxonomic_Family,Genus,Species,Subdivision,Authority,Authority_Source,Citation,Life_Cycle,Update_Comments,Park_Common_Name
20100315154438-841771304.607391,2013-12-13T12:17:25Z,Kelly Kozar,PUHO,,Non-Native,nat,,Cyperus meyenianus,CYPMEY,Cyperales,Cyperaceae,Cyperus,meyenianus,,Kunth,Wagner et al. 2012,"Strong & Wagner, 1997; Tucker, 1994; Hughes, 1995; Oppenheimer, 2003, 2006",Perennial,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",
20100315154438-841964125.63324,2013-12-13T12:15:59Z,Kelly Kozar,NPSA,,Non-Native,,,Hemigraphis alternata,HEMALT,Scrophulariales,Acanthaceae,Hemigraphis,alternata,,(Burm.f.) T.Anderson,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,Perennial,Updated life form in cross reference table from data in the PLANTS database.,
20100315154438-842249035.835266,,,KALA,,Non-Native,,,Christolea parryoides,CHRPAR2,Capparales,Brassicaceae,Christolea,parryoides,,,,,,,
20100315154438-844384253.025055,2013-12-13T12:17:25Z,Kelly Kozar,HALE,,Native,end,,Phyllostegia brevidens,PHYBRE,Lamiales,Lamiaceae,Phyllostegia,brevidens,,A. Gray,Wagner et al. 2012,"Wagner, 1999a",Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-844384253.025055,2013-12-13T12:17:25Z,Kelly Kozar,HAVO,,Native,end,,Phyllostegia brevidens,PHYBRE,Lamiales,Lamiaceae,Phyllostegia,brevidens,,A. Gray,Wagner et al. 2012,"Wagner, 1999a",Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-844490587.711334,2013-12-12T15:35:47Z,Kelly Kozar,HALE,Tree Fern,Native,end,,Cibotium glaucum,CIBGLA,Polypodiales,Cibotiaceae,Cibotium,glaucum,,(Sm.) Hook. & Arn.,2012 Bishop Museum Technical Report 60,Palmer 2003; Staples & Herbst 2005,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,hāpu‘u pulu
20100315154438-844490587.711334,2013-12-12T15:35:47Z,Kelly Kozar,HAVO,Tree Fern,Native,end,,Cibotium glaucum,CIBGLA,Polypodiales,Cibotiaceae,Cibotium,glaucum,,(Sm.) Hook. & Arn.,2012 Bishop Museum Technical Report 60,Palmer 2003; Staples & Herbst 2005,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,hāpu‘u pulu
20100315154438-844490587.711334,2013-12-12T15:35:47Z,Kelly Kozar,KALA,Tree Fern,Native,end,,Cibotium glaucum,CIBGLA,Polypodiales,Cibotiaceae,Cibotium,glaucum,,(Sm.) Hook. & Arn.,2012 Bishop Museum Technical Report 60,Palmer 2003; Staples & Herbst 2005,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,hāpu‘u pulu
20100315154438-844490587.711334,2013-12-12T15:35:47Z,Kelly Kozar,PUHO,Tree Fern,Native,end,,Cibotium glaucum,CIBGLA,Polypodiales,Cibotiaceae,Cibotium,glaucum,,(Sm.) Hook. & Arn.,2012 Bishop Museum Technical Report 60,Palmer 2003; Staples & Herbst 2005,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,hāpu‘u pulu
20100315154438-845104694.366455,2024-12-23T15:30:01Z,Kelly Kozar,HAVO,,Non-Native,nat,,Nuttallanthus texanus,NUTTEX,Lamiales,Plantaginaceae,Nuttallanthus,texanus,,(Scheele) D.A.Sutton (1988),Rev. Antirrh.: 460 (1988),"Gallaher TJ, Brock K, Kennedy BH, Imada CT, Imada K, Walvoord N. 2020. Plants of Hawaiʻi. http://www",Both,Updated to accepted scientific name. 20131212:Updated authority source and citation data.  Updated d,
20100315154438-845164716.243744,,,HALE,,Non-Native,,,Pinus ponderosa,PINPON,Pinales,Pinaceae,Pinus,ponderosa,,,,,Perennial,,
20100315154438-845723271.369934,2013-12-12T15:35:47Z,Kelly Kozar,KALA,Shrub,Native,ind,,Vitex rotundifolia,VITROT,Lamiales,Lamiaceae,Vitex,rotundifolia,,L. fil.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,pōhinahina
20100315154438-845723271.369934,2013-12-12T15:35:47Z,Kelly Kozar,PUHO,Shrub,Native,ind,,Vitex rotundifolia,VITROT,Lamiales,Lamiaceae,Vitex,rotundifolia,,L. fil.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,pōhinahina
20100315154438-846144199.371338,,,NPSA,Tree,Non-Native,pol,,Inocarpus fagifer,INOFAG,Fabales,Fabaceae,Inocarpus,fagifer,,(Parkinson) Fosb.,Whistler 2004,,,,ifi
20100315154438-846187412.7388,2013-12-12T15:38:12Z,Kelly Kozar,HALE,Fern,Native,end,,Dryopteris rubiginosa,DRYRUB,Polypodiales,Dryopteridaceae,Dryopteris,rubiginosa,,(Brack.) Kuntze,Wagner et al. 2012,"Geiger & Ranker, 2005 and Smith et al., 2006",Perennial,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",Dryopteris rubiginosa
20100315154438-846187412.7388,2013-12-12T15:38:12Z,Kelly Kozar,HAVO,Fern,Native,end,,Dryopteris rubiginosa,DRYRUB,Polypodiales,Dryopteridaceae,Dryopteris,rubiginosa,,(Brack.) Kuntze,Wagner et al. 2012,"Geiger & Ranker, 2005 and Smith et al., 2006",Perennial,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",Dryopteris rubiginosa
20100315154438-846187412.7388,2013-12-12T15:38:12Z,Kelly Kozar,KALA,Fern,Native,end,,Dryopteris rubiginosa,DRYRUB,Polypodiales,Dryopteridaceae,Dryopteris,rubiginosa,,(Brack.) Kuntze,Wagner et al. 2012,"Geiger & Ranker, 2005 and Smith et al., 2006",Perennial,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",Dryopteris rubiginosa
20100315154438-84622919.5594788,2013-12-13T12:17:25Z,Kelly Kozar,HALE,,Non-Native,nat,,Canna indica,CANIND,Zingiberales,Cannaceae,Canna,indica,,L.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-84622919.5594788,2013-12-13T12:17:25Z,Kelly Kozar,HAVO,,Non-Native,nat,,Canna indica,CANIND,Zingiberales,Cannaceae,Canna,indica,,L.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-84622919.5594788,2013-12-13T12:17:25Z,Kelly Kozar,KALA,,Non-Native,nat,,Canna indica,CANIND,Zingiberales,Cannaceae,Canna,indica,,L.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-84622919.5594788,2013-12-13T12:17:25Z,Kelly Kozar,NPSA,,Non-Native,,,Canna indica,CANIND,Zingiberales,Cannaceae,Canna,indica,,L.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-84622919.5594788,2013-12-13T12:17:25Z,Kelly Kozar,PUHO,,Non-Native,nat,,Canna indica,CANIND,Zingiberales,Cannaceae,Canna,indica,,L.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-847245514.392853,2013-12-12T15:35:47Z,Kelly Kozar,KALA,Fern,Native,end,R,Adenophorus pinnatifidus var. rockii,ADEPIN2,Polypodiales,Polypodiaceae,Adenophorus,pinnatifidus,var. rockii,Gaudich.; (Copel.) D. D. Palmer,2012 Bishop Museum Technical Report 60,Palmer 2003,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,Adenophorus pinnatifidus var. rockii
20100315154438-847276210.784912,2013-12-13T12:17:25Z,Kelly Kozar,HALE,,Non-Native,nat,,Sherardia arvensis,SHEARV,Rubiales,Rubiaceae,Sherardia,arvensis,,L.,Wagner et al. 2012,"Oppenheimer, 2008",Annual,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-849099993.70575,2015-01-28T00:00:00Z,Kelly Kozar,HALE,,Native,,,Dicranopteris linearis f. linearis,DICLIN3,Polypodiales,Gleicheniaceae,Dicranopteris,linearis f. linearis,,(Burm. f.) Underw.,,,Perennial,Mispelled in NPSpecies.  Emailed Simon Kingston to update the spelling.,uluhe
20100315154438-849154233.932495,2013-12-13T12:17:25Z,Kelly Kozar,HAVO,,Native,end,,Ipomoea tuboides,IPOTUB,Solanales,Convolvulaceae,Ipomoea,tuboides,,O.Deg. & Ooststr.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-849154233.932495,2013-12-13T12:17:25Z,Kelly Kozar,KALA,,Native,end,,Ipomoea tuboides,IPOTUB,Solanales,Convolvulaceae,Ipomoea,tuboides,,O.Deg. & Ooststr.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-849154233.932495,2013-12-13T12:17:25Z,Kelly Kozar,PUHO,,Native,end,,Ipomoea tuboides,IPOTUB,Solanales,Convolvulaceae,Ipomoea,tuboides,,O.Deg. & Ooststr.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-849156975.746155,,,KALA,,Non-Native,,,Aster subulatus,ASTSUB,Asterales,Asteraceae,Aster,subulatus,,,,,Annual,,
20100315154438-84931910.0379944,2013-12-13T12:17:25Z,Kelly Kozar,HAVO,,Non-Native,nat?,,Lablab purpureus,LABPUR,Fabales,Fabaceae,Lablab,purpureus,,(L.) Sweet,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-849555313.587189,2013-12-13T12:17:25Z,Kelly Kozar,HALE,,Native,end,,Clermontia tuberculata,CLETUB,Campanulales,Campanulaceae,Clermontia,tuberculata,,C.N.Forbes,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Lammers 1991,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-849933981.895447,2013-12-12T15:30:01Z,Kelly Kozar,HALE,Herb,Non-Native,nat,,Ocimum gratissimum,OCIGRA,Lamiales,Lamiaceae,Ocimum,gratissimum,,L.,Wagner et al. 2012,"Lorence et al., 1995",Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,African basil
20100315154438-849933981.895447,2013-12-12T15:30:01Z,Kelly Kozar,HAVO,Herb,Non-Native,nat,,Ocimum gratissimum,OCIGRA,Lamiales,Lamiaceae,Ocimum,gratissimum,,L.,Wagner et al. 2012,"Lorence et al., 1995",Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,African basil
